"(0.0576, -0.2774, -0.2972, -0.1367, -0.3176)",[ 2.7183 -2.1804  0.25  ]
"(-0.3528, 0.2625, -0.3171, -0.1962, -0.1078)",[ 3.5174 -0.6491  0.25  ]
"(0.337, 0.366, -0.1734, -0.1642, -0.3044)",[ 3.6306 -0.4372  0.25  ]
"(0.2781, 0.0491, -0.2806, 0.2699, 0.1995)",[3.5848 0.6835 0.25  ]
"(0.4105, -0.2492, -0.2189, -0.0485, 0.3904)",[3.6116 0.3608 0.25  ]
"(0.3772, 0.3764, -0.0998, -0.0838, -0.243)",[3.6435 0.0941 0.25  ]
"(-0.3961, 0.2772, 0.0659, -0.3203, -0.0922)",[ 3.6157 -0.0082  0.25  ]
"(0.4855, -0.3782, 0.022, 0.1329, -0.1484)",[ 3.4541 -1.014   0.25  ]
"(-0.3334, -0.4946, 0.4346, -0.3468, -0.224)",[ 3.1329 -1.6457  0.25  ]
"(-0.2081, 0.2824, 0.2406, 0.1425, 0.042)",[3.3395 1.3054 0.25  ]
"(-0.47, -0.1926, -0.4129, 0.0365, -0.3823)",[ 2.5124 -2.2975  0.25  ]
"(-0.3005, 0.4323, 0.165, 0.0576, -0.109)",[3.4358 1.0374 0.25  ]
"(0.4971, 0.0043, 0.263, 0.1401, -0.2647)",[ 3.5604 -0.0825  0.25  ]
"(0.1845, 0.1936, -0.335, 0.4781, 0.013)",[3.5511 0.6248 0.25  ]
"(0.3631, -0.2226, -0.1835, 0.1249, -0.0724)",[ 3.5332 -0.863   0.25  ]
"(-0.1813, -0.0395, -0.378, -0.3035, -0.2108)",[ 2.9541 -1.7571  0.25  ]
"(0.2902, -0.4598, 0.24, 0.3504, 0.2999)",[3.4986 0.6923 0.25  ]
"(-0.4587, 0.1915, -0.2186, 0.4511, 0.3909)",[3.235  1.5984 0.25  ]
"(-0.1555, 0.3392, -0.1416, -0.0534, 0.4892)",[3.0614 1.9121 0.25  ]
"(0.4202, 0.2477, -0.2125, -0.0117, -0.2616)",[ 3.6321 -0.3881  0.25  ]
"(-0.0367, -0.349, 0.0126, -0.4795, 0.1117)",[ 3.3803 -0.9969  0.25  ]
"(0.4068, 0.1979, 0.3667, 0.0578, 0.3976)",[2.5016 2.3114 0.25  ]
"(-0.1109, -0.1621, -0.1037, -0.482, 0.1746)",[ 3.4799 -0.5753  0.25  ]
"(-0.2623, 0.4144, 0.0733, -0.3893, -0.4249)",[ 3.4966 -0.835   0.25  ]
"(-0.1083, 0.1852, 0.2662, 0.3284, -0.4953)",[ 3.5441 -0.2199  0.25  ]
"(0.3339, 0.4974, -0.4231, -0.1644, 0.3374)",[3.293  1.4253 0.25  ]
"(-0.2851, -0.4831, 0.0374, 0.2292, -0.2531)",[ 3.1362 -1.743   0.25  ]
"(-0.0322, -0.4777, 0.4537, -0.1442, -0.4583)",[ 3.0502 -1.8871  0.25  ]
"(0.0506, -0.2911, -0.1504, -0.4115, -0.3307)",[ 2.6309 -2.2124  0.25  ]
"(0.1042, 0.3019, 0.3922, -0.1072, -0.3083)",[3.5567 0.4104 0.25  ]
"(0.2107, 0.0357, -0.0339, 0.2374, -0.4442)",[ 3.5139 -0.9356  0.25  ]
"(-0.3968, -0.4033, 0.0578, 0.0804, -0.1041)",[ 3.3972 -1.2404  0.25  ]
"(-0.231, 0.4226, -0.1167, 0.2746, -0.1978)",[3.6112 0.433  0.25  ]
"(-0.1867, 0.1618, -0.2652, 0.1418, 0.1324)",[3.6513 0.4749 0.25  ]
"(-0.1529, 0.1434, -0.2051, -0.2056, 0.0837)",[3.6489 0.0047 0.25  ]
"(-0.3549, -0.4626, -0.1321, 0.0882, -0.4232)",[ 2.4024 -2.4796  0.25  ]
"(-0.0149, 0.2819, -0.4292, 0.1082, -0.3967)",[ 3.3821 -1.3267  0.25  ]
"(0.0613, 0.4612, -0.1222, 0.2241, 0.4028)",[2.7113 2.2563 0.25  ]
"(0.17, -0.1646, -0.4724, 0.1698, -0.1357)",[ 3.3007 -1.3876  0.25  ]
"(0.2798, -0.3091, 0.2301, 0.2406, -0.2393)",[ 3.5189 -0.7853  0.25  ]
"(-0.0296, -0.3313, 0.0251, -0.4679, 0.3207)",[ 3.5283 -0.3622  0.25  ]
"(-0.0187, -0.4627, 0.0285, 0.4343, 0.3167)",[3.6041 0.3637 0.25  ]
"(-0.2162, 0.3764, -0.1045, -0.3806, 0.3569)",[3.3134 1.3439 0.25  ]
"(-0.349, 0.4433, 0.2529, -0.4162, -0.1763)",[3.554  0.3929 0.25  ]
"(-0.0378, -0.3458, 0.2324, -0.4722, 0.0854)",[ 3.5262 -0.7144  0.25  ]
"(0.2005, 0.4481, 0.1373, 0.145, -0.0017)",[3.2109 1.4582 0.25  ]
"(0.2715, 0.43, -0.3027, -0.336, 0.2714)",[3.451  1.0376 0.25  ]
"(0.1857, 0.0512, -0.2786, -0.3385, 0.171)",[ 3.6061 -0.1305  0.25  ]
"(-0.2453, 0.1732, -0.4148, 0.2132, -0.1065)",[ 3.6215 -0.5131  0.25  ]
"(0.3451, 0.3424, 0.3511, -0.462, -0.3258)",[ 3.6059 -0.0376  0.25  ]
"(-0.3605, 0.249, -0.412, 0.2689, -0.1029)",[ 3.6406 -0.297   0.25  ]
"(0.0673, -0.1279, 0.4824, 0.355, 0.2298)",[3.0224 1.6365 0.25  ]
"(-0.399, -0.081, -0.3101, -0.0903, 0.1482)",[ 3.5043 -0.5887  0.25  ]
"(-0.2584, -0.1966, -0.2769, 0.2719, 0.2044)",[ 3.6452 -0.1835  0.25  ]
"(-0.3648, 0.3143, 0.4045, -0.0949, -0.2965)",[3.5847 0.2338 0.25  ]
"(0.3348, -0.2498, 0.0411, -0.3171, -0.2003)",[ 3.3874 -1.2931  0.25  ]
"(-0.4677, -0.1804, -0.4025, 0.0448, 0.2005)",[ 3.4286 -0.7532  0.25  ]
"(-0.2377, -0.1041, 0.4854, -0.1863, -0.2029)",[ 3.6271 -0.3884  0.25  ]
"(0.3341, -0.4077, 0.0506, 0.4286, -0.187)",[ 3.4301 -0.9528  0.25  ]
"(-0.0193, 0.4092, -0.0395, 0.4394, 0.1496)",[2.9778 1.8206 0.25  ]
"(-0.142, -0.4934, 0.346, -0.1052, -0.2829)",[ 3.1957 -1.6625  0.25  ]
"(0.2635, 0.2754, 0.4757, -0.338, 0.2677)",[2.9286 1.9399 0.25  ]
"(-0.4359, 0.1826, 0.3403, 0.2871, 0.0233)",[3.3531 1.1748 0.25  ]
"(-0.4565, 0.0481, -0.3423, 0.1468, -0.2016)",[ 3.4055 -1.18    0.25  ]
"(0.2011, 0.4323, 0.0343, 0.1353, 0.4724)",[2.3238 2.5491 0.25  ]
"(-0.4389, 0.107, -0.2529, 0.0856, 0.2574)",[3.6066 0.5107 0.25  ]
"(-0.0055, 0.4254, 0.3638, 0.4555, 0.1649)",[2.3091 2.2477 0.25  ]
"(0.3278, 0.3156, 0.0167, -0.4839, -0.3541)",[ 3.5644 -0.6884  0.25  ]
